Fiat Uno com Escada,10000,R$10.000,src/main/resources/emoji/fiat_uno.jpg
Fusca,20000,R$20.000,src/main/resources/emoji/fusca.jpg
Vespa,22000,R$22.000,src/main/resources/emoji/vespa.jpg
Kitnet,100000,R$100.000,src/main/resources/emoji/kitnet.jpeg
Apartamento,500000,R$500.000,src/main/resources/emoji/apartamento.jpeg
Carro legal,200000,R$200.000,src/main/resources/emoji/carro.jpeg
Casa,1000000,R$1.000.000,src/main/resources/emoji/casa.jpeg
Fazenda,5000000,R$5.000.000,src/main/resources/emoji/fazenda.jpeg
Mansão,10000000,R$10.000.000,src/main/resources/emoji/mansao.jpeg
Iate,50000000,R$50.000.000,src/main/resources/emoji/iate.jpeg
Jato Privado,100000000,R$100.000.000,src/main/resources/emoji/jet.jpg
Ilha Particular,200000000,R$200.000.000,src/main/resources/emoji/ilha.jpg
